CONTROL,REGION,SHIPMONTH,SECTIONS,WEIGHT,WGTADJ,STATUS,PRICE,SQFT,BEDROOMS,TITLED,LOCATION,FOUNDATION,SECURED,JSTATUS,JPRICE,JSQFT,JBEDROOM,JTITLED,JLOCATION,JFOUNDATION,JSECURED
1404080,2,201404,1,9.272727273,1.014402139,1,60000,1216,3,9,9,9,9,R,R,R,R,9,9,9,9
1404081,2,201404,2,4.636363636,0.980389703,2,94200,1920,3,2,1,2,1,R,I,R,R,R,R,R,R
1404082,3,201404,2,21.096428571,0.980389703,2,97500,2500,3,1,3,1,9,R,R,R,R,R,R,R,R
1404083,1,201404,2,4.416666667,0.980389703,2,97100,1344,3,1,1,1,9,R,R,R,R,R,R,R,R
1404084,2,201404,1,9.272727273,1.014402139,2,33500,700,1,2,1,1,9,R,I,I,I,I,I,I,R
1404085,4,201404,1,14.231578947,1.014402139,1,39300,924,1,9,9,9,9,I,I,I,I,9,9,9,9
1404086,3,201404,2,21.096428571,0.980389703,1,94200,1920,3,9,9,9,9,R,I,I,I,9,9,9,9
1404087,3,201404,2,21.096428571,0.980389703,2,90000,2500,3,2,3,3,1,R,R,R,R,R,R,R,R
1404088,5,201404,3,14.064285714,0.980389703,2,195500,3700,3,2,3,2,1,R,R,R,R,R,R,R,R
1404089,2,201404,2,4.636363636,0.980389703,1,74800,1680,3,9,9,9,9,R,R,R,R,9,9,9,9
1404090,2,201404,2,4.636363636,0.980389703,1,89300,1456,3,9,9,9,9,R,R,R,R,9,9,9,9
1404091,4,201404,2,7.115789474,0.980389703,2,43200,1104,3,3,3,2,1,R,R,R,R,I,R,I,I
1404092,4,201404,1,14.231578947,1.014402139,2,65600,896,1,2,3,3,3,R,R,R,R,R,R,R,R
1404093,4,201404,2,7.115789474,0.980389703,2,145000,1512,3,2,1,3,1,R,R,R,R,R,R,R,R
1404094,3,201404,2,21.096428571,0.980389703,2,94200,1920,3,2,1,3,1,R,I,I,I,I,R,I,I
1404095,3,201404,2,21.096428571,0.980389703,1,77200,1904,3,9,9,9,9,R,R,R,R,9,9,9,9
1404096,3,201404,2,21.096428571,0.980389703,2,52000,1568,3,2,3,3,1,R,R,R,R,R,R,R,R
1404097,3,201404,2,21.096428571,0.980389703,1,75300,1456,3,9,9,9,9,R,R,R,R,9,9,9,9
1404098,3,201404,2,21.096428571,0.980389703,2,56300,1568,3,2,3,3,1,R,R,R,R,R,R,R,R
1404099,1,201404,2,4.416666667,0.980389703,2,72800,1400,3,2,3,3,1,I,I,I,I,I,I,I,I
1404100,3,201404,1,42.192857143,1.014402139,2,39700,1216,3,2,3,3,1,R,R,R,R,R,R,R,R
1404101,3,201404,1,42.192857143,1.014402139,2,48700,1152,3,2,3,1,9,I,I,I,I,I,I,I,R
1404102,3,201404,2,21.096428571,0.980389703,1,94200,1920,3,9,9,9,9,I,I,I,I,9,9,9,9
1404103,4,201404,1,14.231578947,1.014402139,2,38100,896,1,2,1,2,1,I,I,I,I,I,I,I,I
1404104,3,201404,2,21.096428571,0.980389703,1,99200,2040,3,9,9,9,9,R,I,R,R,9,9,9,9
1404105,3,201404,1,42.192857143,1.014402139,2,29600,700,1,2,3,3,1,R,R,R,R,R,R,R,R
1404106,3,201404,2,21.096428571,0.980389703,3,9,9,9,9,9,9,9,R,9,9,9,9,9,9,9
1404107,4,201404,2,7.115789474,0.980389703,2,91300,1848,3,2,3,3,1,R,I,I,I,I,I,I,I
1404108,4,201404,2,7.115789474,0.980389703,1,106900,1920,3,9,9,9,9,R,R,R,R,9,9,9,9
1404109,4,201404,2,7.115789474,0.980389703,2,72000,1512,3,1,3,1,9,R,R,R,R,R,R,R,R
1404110,2,201404,2,4.636363636,0.980389703,2,98200,1512,3,2,3,3,1,R,R,R,R,R,R,R,R
1404111,2,201404,1,9.272727273,1.014402139,3,9,9,9,9,9,9,9,I,9,9,9,9,9,9,9
1404112,4,201404,2,7.115789474,0.980389703,2,79000,1404,3,2,3,1,9,R,R,R,R,R,R,R,R
1404113,4,201404,2,7.115789474,0.980389703,2,87800,1764,3,1,1,1,9,R,I,I,I,I,I,I,R
1404114,3,201404,1,42.192857143,1.014402139,2,57600,1368,3,2,3,3,1,R,I,R,R,R,R,R,R
1404115,3,201404,2,21.096428571,0.980389703,2,49900,1568,3,2,3,3,1,R,R,R,R,R,R,R,R
1404116,4,201404,2,7.115789474,0.980389703,2,113500,1344,3,2,1,2,1,R,R,R,R,R,R,R,R
1404117,4,201404,2,7.115789474,0.980389703,2,93600,1904,3,1,3,1,9,I,I,I,I,I,I,I,R
1404118,2,201404,2,4.636363636,0.980389703,2,74900,1856,3,2,3,1,9,R,R,R,R,R,R,R,R
1404119,1,201404,1,8.833333333,1.014402139,2,58000,1036,3,2,1,2,1,R,R,R,R,R,R,R,R
1404120,3,201404,2,21.096428571,0.980389703,1,99000,2128,3,9,9,9,9,R,R,R,R,9,9,9,9
1404121,2,201404,2,4.636363636,0.980389703,2,100000,2400,3,2,3,3,1,R,R,R,R,R,R,R,R
1404122,3,201404,2,21.096428571,0.980389703,1,70500,1344,3,9,9,9,9,I,I,I,I,9,9,9,9
1404123,1,201404,2,4.416666667,0.980389703,2,93000,2000,3,1,3,1,9,R,R,R,R,R,R,R,R
1404124,2,201404,2,4.636363636,0.980389703,2,84300,1680,3,2,1,2,1,R,I,R,R,R,R,R,R
1404125,4,201404,1,14.231578947,1.014402139,2,51300,1216,3,2,1,3,1,I,I,I,I,I,I,I,I
1404126,2,201404,1,9.272727273,1.014402139,2,31200,700,1,3,1,2,1,R,I,I,I,I,I,I,I
1404127,2,201404,2,4.636363636,0.980389703,2,64800,1904,3,2,1,3,1,R,R,R,R,R,R,R,R
1404128,1,201404,1,8.833333333,1.014402139,2,28000,700,1,2,1,2,1,R,I,R,R,R,R,R,R
1404129,5,201404,3,4.743859649,0.980389703,2,81700,1960,1,1,3,1,9,R,R,R,R,R,R,R,R
1404130,2,201404,2,4.636363636,0.980389703,2,83400,1400,3,2,3,2,1,R,R,R,R,R,R,R,R
1404131,2,201404,1,9.272727273,1.014402139,2,38100,896,1,1,1,3,1,R,I,I,I,I,I,I,I
1404132,1,201404,2,4.416666667,0.980389703,2,93900,1232,3,2,3,2,1,R,R,R,R,R,R,R,R
1404133,2,201404,2,4.636363636,0.980389703,1,82000,1456,3,9,9,9,9,R,R,R,R,9,9,9,9
1404134,3,201404,2,21.096428571,0.980389703,2,41400,1568,3,2,3,3,1,R,R,R,R,R,R,R,R
1404135,4,201404,2,7.115789474,0.980389703,1,115900,2500,3,9,9,9,9,R,R,R,R,9,9,9,9
1404136,4,201404,1,14.231578947,1.014402139,2,43200,1020,1,2,1,3,1,R,I,R,R,R,R,R,R
1404137,5,201404,3,14.064285714,0.980389703,2,175800,1920,3,1,1,3,1,R,R,R,R,R,R,R,R
1404138,3,201404,2,21.096428571,0.980389703,1,80000,1680,3,9,9,9,9,R,R,R,R,9,9,9,9
1404139,2,201404,2,4.636363636,0.980389703,2,73600,2400,3,1,1,2,1,R,R,R,R,R,R,R,R
1404140,3,201404,1,42.192857143,1.014402139,2,28700,700,1,2,3,2,1,R,R,R,R,R,R,R,R
1404141,1,201404,2,4.416666667,0.980389703,2,62600,1152,1,3,1,3,1,R,I,R,R,R,R,R,R
1404142,2,201404,1,9.272727273,1.014402139,2,43200,700,1,2,1,3,1,R,R,R,R,R,R,R,R
1404143,2,201404,1,9.272727273,1.014402139,2,60000,1216,3,2,3,1,9,R,R,R,R,R,R,R,R
1404144,3,201404,2,21.096428571,0.980389703,2,57000,1344,3,2,3,3,1,R,R,R,R,R,R,R,R
1404145,1,201404,2,4.416666667,0.980389703,2,79800,1624,3,2,3,3,1,R,R,R,R,R,R,R,R
1404146,3,201404,1,42.192857143,1.014402139,2,41600,980,3,2,3,1,9,I,I,I,I,I,I,I,R
1404147,3,201404,1,42.192857143,1.014402139,2,52000,1216,3,2,3,2,1,R,R,R,R,R,R,R,R
1404148,4,201404,1,14.231578947,1.014402139,2,47000,1110,1,2,1,3,1,I,I,I,I,I,I,I,I
1404149,3,201404,2,21.096428571,0.980389703,2,41400,1000,3,2,1,3,1,R,R,R,R,R,R,R,R
1404150,4,201404,2,7.115789474,0.980389703,2,118500,1890,3,2,3,1,9,R,R,R,R,R,R,R,R
1404151,2,201404,2,4.636363636,0.980389703,2,143000,1680,3,2,1,2,1,R,R,R,R,R,R,R,R
1404152,4,201404,2,7.115789474,0.980389703,2,73000,1188,1,2,3,1,9,R,R,R,R,R,R,R,R
1404153,2,201404,1,9.272727273,1.014402139,2,51300,1216,3,2,1,2,1,I,I,I,I,I,I,I,I
1404154,3,201404,1,42.192857143,1.014402139,2,33900,1120,3,2,3,3,1,R,R,R,R,I,R,R,R
1404155,4,201404,2,7.115789474,0.980389703,1,113600,2100,3,9,9,9,9,R,R,R,R,9,9,9,9
1404156,2,201404,1,9.272727273,1.014402139,2,44700,1056,3,2,1,3,1,R,I,R,R,R,R,R,R
1404157,4,201404,2,7.115789474,0.980389703,2,96000,1792,3,2,1,1,9,R,R,R,R,R,R,R,R
1404158,4,201404,2,7.115789474,0.980389703,2,104500,1800,3,2,1,3,1,R,R,R,R,R,R,R,R
1404159,3,201404,1,42.192857143,1.014402139,2,51300,1216,3,2,3,3,1,R,I,I,I,I,I,I,I
1404160,4,201404,2,7.115789474,0.980389703,2,104000,1392,1,2,1,2,1,R,R,R,R,R,R,R,R
1404161,2,201404,2,4.636363636,0.980389703,2,70500,1344,3,2,1,3,1,R,I,R,R,R,R,R,R
1404162,3,201404,2,21.096428571,0.980389703,2,115300,2500,3,1,3,3,1,I,I,I,I,I,I,I,I
1404163,4,201404,2,4.636363636,0.980389703,2,60600,1104,3,2,3,1,9,I,I,I,I,I,I,I,R
1404164,5,201404,3,14.064285714,0.980389703,2,180000,3700,3,2,3,1,9,R,R,R,R,R,R,R,R
1404165,2,201404,1,9.272727273,1.014402139,1,52900,1140,3,9,9,9,9,R,R,R,R,9,9,9,9
1404166,2,201404,2,4.636363636,0.980389703,2,77400,1512,3,3,1,2,1,R,I,I,I,I,I,I,I
1404167,2,201404,2,4.636363636,0.980389703,2,39500,1232,1,1,3,1,9,R,R,R,R,R,R,R,R
1404168,2,201404,1,9.272727273,1.014402139,2,51300,1216,3,2,3,3,1,R,I,I,I,R,R,R,R
1404169,2,201404,2,4.636363636,0.980389703,2,91000,1904,3,2,1,3,1,R,R,R,R,R,R,R,R
1404170,4,201404,2,7.115789474,0.980389703,2,99700,2052,3,2,3,3,1,I,I,I,I,I,I,I,I
1404171,5,201404,3,4.743859649,0.980389703,2,104100,2160,3,1,3,1,9,R,I,R,R,R,R,R,R
1404172,3,201404,2,21.096428571,0.980389703,2,131700,2500,3,2,3,3,1,I,I,I,I,I,I,I,I
1404173,4,201404,2,7.115789474,0.980389703,2,185900,1980,3,1,1,2,1,R,R,R,R,R,R,R,I
1404174,5,201404,3,4.743859649,0.980389703,2,186500,2520,3,2,3,1,9,R,R,R,R,R,R,R,R
1404175,3,201404,2,21.096428571,0.980389703,2,75400,2016,3,2,3,3,1,R,R,R,R,R,R,R,R
1404176,5,201404,3,4.743859649,0.980389703,2,93600,1904,3,3,1,3,1,R,I,R,R,R,R,R,R
1404177,1,201404,2,4.416666667,0.980389703,2,70000,1400,3,2,1,1,9,R,R,R,R,R,R,R,R
1404178,1,201404,1,8.833333333,1.014402139,2,44700,1056,3,2,1,3,1,R,I,R,R,R,R,R,R
1404179,2,201404,2,4.6364,0.980389703,2,39500,1232,3,1,3,2,1,R,R,R,R,R,R,R,R
1404180,4,201404,2,7.115789474,0.980389703,2,91300,1512,3,1,3,3,1,R,R,R,R,R,R,R,R
1404181,4,201404,2,7.115789474,0.980389703,2,93000,1890,3,2,3,1,9,R,I,I,I,I,I,I,R
1404182,2,201404,2,4.636363636,0.980389703,3,9,9,9,9,9,9,9,R,9,9,9,9,9,9,9
1404183,1,201404,2,4.416666667,0.980389703,2,85000,1680,3,1,1,2,1,R,R,R,R,R,R,R,R
1404184,5,201404,3,14.064285714,0.980389703,1,146700,3192,3,9,9,9,9,R,I,R,R,9,9,9,9
1404185,4,201404,2,7.115789474,0.980389703,2,185900,1647,3,2,1,1,9,R,R,R,R,R,R,R,R
1404186,3,201404,2,21.096428571,0.980389703,2,80300,1920,3,2,3,3,1,R,R,R,R,R,R,R,R
1404187,2,201404,1,9.272727273,1.014402139,2,31200,700,1,1,1,3,1,R,I,R,R,R,R,R,R
1404188,3,201404,2,21.096428571,0.980389703,2,41400,1000,3,2,3,3,1,R,R,R,R,R,R,R,R
1404189,2,201404,2,4.6364,0.980389703,1,39500,1344,3,9,9,9,9,R,R,R,R,9,9,9,9
1404190,1,201404,1,8.833333333,1.014402139,2,39300,924,3,2,1,3,1,R,I,R,R,R,R,R,R
1404191,2,201404,2,4.636363636,0.980389703,2,116100,1904,3,2,1,3,1,R,R,R,R,R,R,R,R
1404192,2,201404,2,4.636363636,0.980389703,1,68900,1456,3,9,9,9,9,R,R,R,R,9,9,9,9
1404193,2,201404,2,4.636363636,0.980389703,2,70000,1568,3,2,3,3,1,R,R,R,R,R,R,R,R
1404194,4,201404,2,7.115789474,0.980389703,1,104800,2500,3,9,9,9,9,I,I,I,I,9,9,9,9
1404195,2,201404,2,4.636363636,0.980389703,2,109100,2400,3,2,1,3,1,I,I,I,I,I,I,I,I
1404196,4,201404,2,7.115789474,0.980389703,2,93600,1904,3,1,3,3,1,R,I,R,R,R,R,R,R
1404197,4,201404,1,14.231578947,1.014402139,2,43200,1020,1,2,1,3,1,R,I,R,R,R,R,R,R
1404198,3,201404,2,21.096428571,0.980389703,2,75100,1456,3,2,3,1,9,I,I,I,I,I,I,I,R
1404199,2,201404,2,4.636363636,0.980389703,1,115300,2400,3,9,9,9,9,I,I,I,I,9,9,9,9
1404200,3,201404,2,21.096428571,0.980389703,1,100000,2128,3,9,9,9,9,R,R,R,R,9,9,9,9
1404201,3,201404,2,21.096428571,0.980389703,1,56500,1344,3,9,9,9,9,R,R,R,R,9,9,9,9
1404202,4,201404,2,7.115789474,0.980389703,2,119100,1890,3,2,3,1,9,R,R,R,R,R,R,R,R
1404203,3,201404,1,42.192857143,1.014402139,2,34900,924,3,1,3,3,1,R,R,R,R,R,R,R,R
1404204,3,201404,2,21.096428571,0.980389703,2,77900,2048,3,2,3,3,1,R,R,R,R,R,R,R,R
1404205,4,201404,1,14.231578947,1.014402139,2,45100,1064,3,2,3,3,1,R,I,R,R,R,R,R,R
1404206,5,201404,3,4.743859649,0.980389703,2,112000,2080,1,1,3,1,9,R,R,R,R,R,R,R,R
1404207,1,201404,1,8.833333333,1.014402139,2,68000,924,1,2,3,2,1,R,R,R,R,R,R,R,R
1404208,2,201404,1,9.272727273,1.014402139,2,26900,700,1,2,3,2,1,R,R,R,R,R,R,R,R
1404209,3,201404,2,21.096428571,0.980389703,2,117900,1792,3,1,3,1,9,R,R,R,R,R,R,R,R
1404210,4,201404,2,7.115789474,0.980389703,2,72500,1392,1,3,1,2,1,R,I,I,I,I,I,I,I
1404211,1,201404,2,4.416666667,0.980389703,2,63400,1232,3,2,1,2,1,R,R,R,R,R,R,I,R
1404212,4,201404,1,14.231578947,1.014402139,2,51300,1216,3,1,1,1,9,I,I,I,I,I,I,I,R
1404213,4,201404,1,14.231578947,1.014402139,2,56000,780,1,2,1,3,1,R,R,R,R,R,R,R,R
1404214,3,201404,1,42.192857143,1.014402139,1,42900,1216,3,9,9,9,9,R,R,R,R,9,9,9,9
1404215,3,201404,2,21.096428571,0.980389703,2,89900,2016,3,1,3,3,1,R,R,R,R,R,R,R,R
1404216,3,201404,2,21.096428571,0.980389703,2,41400,1232,3,2,3,3,1,R,R,R,R,R,R,R,R
1404217,3,201404,2,21.096428571,0.980389703,1,87000,2128,3,9,9,9,9,R,R,R,R,9,9,9,9
1404218,3,201404,2,21.096428571,0.980389703,1,52700,1232,3,9,9,9,9,R,R,R,R,9,9,9,9
1404219,2,201404,1,14.231578947,1.014402139,2,51300,1216,3,2,1,3,1,I,I,I,I,I,I,I,I
1404220,3,201404,2,21.096428571,0.980389703,1,66900,1456,3,9,9,9,9,R,R,R,R,9,9,9,9
1404221,4,201404,2,7.115789474,0.980389703,2,77400,1512,3,2,1,2,1,R,I,I,I,I,I,I,I
1404222,1,201404,1,8.833333333,1.014402139,1,39300,924,3,9,9,9,9,I,I,I,I,9,9,9,9
1404223,3,201404,1,42.192857143,1.014402139,2,51300,1216,3,3,1,2,1,R,I,I,I,R,R,I,R
1404224,3,201404,2,21.096428571,0.980389703,2,107400,2240,3,2,1,3,1,R,I,R,R,R,R,R,R
1404225,3,201404,1,42.192857143,1.014402139,1,50000,1312,3,9,9,9,9,R,R,R,R,9,9,9,9
1404226,3,201404,2,21.096428571,0.980389703,1,71000,1568,3,9,9,9,9,R,R,R,R,9,9,9,9
1404227,1,201404,2,4.416666667,0.980389703,2,100000,1232,3,1,3,2,1,R,R,R,R,R,R,R,R
1404228,4,201404,2,7.115789474,0.980389703,2,84300,1680,3,2,3,2,1,I,I,I,I,I,I,I,I
1404229,3,201404,2,21.096428571,0.980389703,2,68500,2128,3,2,3,3,1,R,R,R,R,R,R,R,R
1404230,1,201404,1,8.833333333,1.014402139,2,33000,1216,3,2,3,3,1,R,R,R,R,R,R,R,R
1404231,2,201404,2,4.636363636,0.980389703,2,75100,1456,3,3,1,3,1,R,I,R,R,R,R,R,R
1404232,3,201404,2,21.096428571,0.980389703,2,79700,1568,3,2,3,3,1,R,I,R,R,R,R,R,R
1404233,2,201404,2,4.636363636,0.980389703,2,50900,1344,3,2,1,3,1,R,R,R,R,R,R,R,R
1404234,1,201404,1,8.833333333,1.014402139,2,39300,924,3,2,3,2,1,R,I,R,R,R,R,R,R
1404235,2,201404,1,9.272727273,1.014402139,2,48700,1152,3,2,1,3,1,R,I,I,I,I,I,I,I
1404236,3,201404,2,21.096428571,0.980389703,1,65900,1232,3,9,9,9,9,I,I,I,I,9,9,9,9
1404237,1,201404,1,8.833333333,1.014402139,1,51900,1064,3,9,9,9,9,R,R,R,R,9,9,9,9
1404238,3,201404,2,21.096428571,0.980389703,2,58100,1456,1,2,3,2,3,R,R,R,R,R,R,R,R
1404239,3,201404,1,42.192857143,1.014402139,1,42900,1500,1,9,9,9,9,R,R,R,R,9,9,9,9
1404240,4,201404,2,7.115789474,0.980389703,2,84300,1680,3,2,1,3,1,R,I,I,I,I,I,I,I
1404241,3,201404,2,21.096428571,0.980389703,2,78000,1568,3,1,1,3,1,R,R,R,R,R,R,R,R
1404242,4,201404,2,7.115789474,0.980389703,2,62600,1152,3,2,1,2,1,I,I,I,I,I,I,I,I
1404243,4,201404,2,7.115789474,0.980389703,1,143900,2052,3,9,9,9,9,R,R,R,R,9,9,9,9
1404244,3,201404,2,21.096428571,0.980389703,1,50000,1232,3,9,9,9,9,R,R,R,R,9,9,9,9
1404245,4,201404,2,7.115789474,0.980389703,2,94200,1920,3,2,1,1,9,I,I,I,I,I,I,I,R
1404246,3,201404,2,21.096428571,0.980389703,2,131700,2048,3,1,3,1,9,R,R,R,R,R,R,R,R
1404247,2,201404,1,9.272727273,1.014402139,2,41600,980,3,3,1,2,1,I,I,I,I,I,I,I,I
1404248,2,201404,1,9.272727273,1.014402139,2,44700,1056,3,2,1,3,1,R,I,R,R,R,R,R,R
1404249,1,201404,1,8.833333333,1.014402139,2,42000,990,3,3,1,2,1,R,I,R,R,R,R,R,R
1404250,3,201404,2,21.096428571,0.980389703,2,57300,1664,3,2,3,3,1,R,R,R,R,R,R,R,R
1404251,2,201404,2,4.636363636,0.980389703,2,84300,1680,3,1,3,1,9,R,I,R,R,I,R,R,R
1404252,4,201404,2,7.115789474,0.980389703,1,70500,1344,3,9,9,9,9,I,I,I,I,9,9,9,9
1404253,4,201404,2,7.115789474,0.980389703,2,91000,1848,3,2,3,3,1,R,R,R,R,R,R,R,R
1404254,1,201404,2,4.416666667,0.980389703,2,51200,1232,3,2,3,1,9,R,R,R,R,R,R,R,R
1404255,3,201404,2,21.096428571,0.980389703,1,75000,1904,3,9,9,9,9,R,R,R,R,9,9,9,9
1404256,1,201404,1,8.833333333,1.014402139,2,33800,896,1,2,1,2,1,R,R,R,R,R,R,R,R
1404257,1,201404,2,4.416666667,0.980389703,2,115100,2000,3,2,1,2,1,R,R,R,R,R,R,R,R
1404258,1,201404,2,4.416666667,0.980389703,2,62900,1456,3,2,3,3,1,R,R,R,R,R,R,R,R
1404259,1,201404,2,4.416666667,0.980389703,2,102800,2000,3,2,3,1,9,I,I,I,I,I,I,I,R
